REQUIREMENTS TRACEABILITY MATRIX,,,,,,,,,,,,,,
Project Name,Pets4Life Website Development,Version Control,,,,,,,,,,,,
Project Type,Website Development,9/14/2025,11/09/2025,,,,,,,,,,,
Project Start Date,8/18/2025,10/05/2025,12/02/2025,,,,,,,,,,,
Project End Date,12/4/2025,10/19/2025,,,,,,,,,,,,
Project Sponsor,Karen from Pets4Life,11/03/2025,,,,,,,,,,,,
Project Manager/Department,Dr. Chrisman,,,,,,,,,,,,,
ID,"Priority 
",Functional Requirement,Technical Assumption(s) and/or Customer Needs,Status,"Architectural/Design
Document","Technical
Specification","System
Component(s)","Software
Module(s)",Change Management,"Test Case
Number",Tested In,Implemented In,Verification,"Additional
Comments"
001,1.1.1,,Chatbot will allow general automated responses to frequently asked questions,,,,,,,,,,,
002,2.2.2,,Chatbot will allow users to create support tickets and send them to an escalation system for further assistance with tidio,,,,,,,,,,,
001,High,Chatbot will allow admin to manage a list of predefined responses,"Lyro, Tidio's knowledge-based chatbot will have to be up and running and integrated in WordPress.",Completed,"The chatbot will be managed through our CMS, WordPress, for easy access to the users","The chatbot will be managed through Tidio's API, a plugin within WordPress (although fully managed within Tidio's own domain, and will direct users to the contact us page for more help, which is managed through WPForms, integrating its own dashboard and integrating with AirTable. ","Tidio, WordPress, WPForms",All low code managed through Tidio and WordPress API,N/A,CH-001,11/22/2025,11/22/2025/2025,We verified this through ensuring the flow we inputted into the tidio chatbot was clear and made to represent the diagram that was given to us by the client. This was then tested in the front end. ,
002,High,Chatbot will allow a facilitation of user needs through a conversational interface,The chatbot will how to be up and running within WordPress and the customer must have enough knowledge to interact with it ,Completed,"The chatbot will be managed through our CMS, WordPress, for easy access to admin","The chatbot will be managed through Tidio's API, a plugin within WordPress (although fully managed within Tidio's own domain, and will direct users to the contact us page for more help, which is managed through WPForms, integrating its own dashboard and integrating with AirTable. ","Tidio, WordPress, WPForms",All low code managed through Tidio and WordPress API,N/A,CH-002,11/21/2025,11/22/2025,We verified this functionality by going through the front-end interface and ensuring all of the responses we wanted were correct and matched the responses that were requested by the clients. ,
003,Low,The chatbot will also give the admin options to incorporate data from the website and other outside sources,"The chatbot will how to be up and running within WordPress. Also, tidio's platform must be able to integrate with the URL.",Completed,"The chatbot will be managed through our CMS, WordPress, for easy access to admin","The chatbot will be managed through Tidio's API, a plugin within WordPress (although fully managed within Tidio's own domain, and will direct users to the contact us page for more help, which is managed through WPForms, integrating its own dashboard and integrating with AirTable. ","Tidio, WordPress, WPForms",All low code managed through Tidio and WordPress API,N/A,CH-003,11/21/2025,11/22/2025,We verified this by ensuring that the chatboot we picked was low code and easy to use. This was a must for our client and also ensures editability. ,
004,High,the chatbot will direct users to the contact page if they are in need of information the chatbot cannot supply. ,the chatbot will have to be up and running and must be able to facilitate url links for easier access to page. ,Completed,"The chatbot will be managed through our CMS, WordPress, for easy acess to users","The chabot will be managed through Tidio's API, a plugin within WordPress (although fully managed within Tidio's own domain, and will direct users to the contact us page for more help, which is managed through WPForms, integrating its own dashboard and integrating with AirTable. ","Tidio, WordPress, WPForms",All low code managed through Tidio and WordPress API,N/A,CH-004,11/21/2025,11/22/2025,"Instead of putting forms directly into the chatbot, we instead just directed people straight to the forms they needed to fill out. This was verified by testing it through the front end of the chatbot with the hyperlinks to the other parts of the webpage. ",
005,High,The chatbot will allow Administrators to access contact us form submissions from the chatbot,"the chatbot will have to be up and running and must be able to facilitate url links for easier access to page, along with the back-end dashboard",Completed,"The chatbot will be managed through our CMS, WordPress, for easy access to admin","Although WPForms has many functions for our website, this one will ensure that the distinction from regular contact us forms and chatbot forms is made, and it will all be managed in the WPForms dashboard, while also having the ability to integrate with Airtable. ",WPForms,All low-code environments managed by WPForms,N/A,CH-005,10/15/2025,10/17/2025,We verified the form submission through a user test done by the team on an external device to ensure we could see the submission,This system will display all submissions and the client will be able to see who needs help based on a dashboard rather than clouding up the email. 
006,High,The Petcare Hub page will allow users to access PDF links to information needed such as Spay and Neuter Resources and Pet Food Assistance ,WordPress must be loading and the Petcare hub page must also be performing as expected. ,Completed,"The PetCare Hub page hosts the PDFs through their media library, which can be updated at any time if any PDF changes need to be made",The  Petcare Hub page will be hosted through WordPress and will ensure all documents are hosted through WordPresses media library. ,WordPress and Kadence's page layout blocks,"All low-code environments hosted through WordPress and Kadence, our custom theme",N/A,PH-01,10/29/2025,10/29/2025,We verified this submission by ensuring all of the links we had attached to this page were clicked correctly and would direct users to the correct place. ,"We wanted to ensure users can access all the information they needed while also not clouding the website, which requires this as a functional requirement"
007,Low,The blogpost page will allow users to like a specific blogpost.,"The WordPress page must be working correctly, along with the design of each specific posts page and its layout ",Completed,The blogpost pages are hosted directly through WordPress's blog page and their posts section under pages. This will be required to be able to access the blog posts,The blogpost page will be hosted through the WordPress business account and will be using Kadence blocks for its theme. ,WordPress and Kadence's single post layout block ,"All low-code environments hosted through WordPress and Kadence, our custom theme",N/A,BP-001,09/17/2025,9/18/2025,We verified this functionality by user testing it to ensure it went through to the WordPress function and the admin could see the likes on a post. ,"	This will be our final feat of the website and will be completed prior to demo #3."
008,Low,The blogpost page will allow users to share a specific blogpost to X,"The WordPress page must be working correctly, along with the design of each specific posts page and its layout ",Completed,The blogpost pages are hosted directly through WordPress's blog page and their posts section under pages. This will be required to be able to access the blog posts,The blogpost page will be hosted through the WordPress business account and will be using Kadence blocks for its theme. ,WordPress and Kadence's single post layout block ,"All low-code environments hosted through WordPress and Kadence, our custom theme",N/A,BP-002,09/17/2025,9/19/2025,We verified this functionality by clicking the X button and ensuring that sharing would work,"	This will be our final feat of the website and will be completed prior to demo #3."
009,Low,The blogpost page will allow users to share a specific blogpost to Facebook. ,"The WordPress page must be working correctly, along with the design of each specific posts page and its layout ",Completed,The blogpost pages are hosted directly through WordPress's blog page and their posts section under pages. This will be required to be able to access the blog posts,The blogpost page will be hosted through the WordPress business account and will be using Kadence blocks for its theme. ,Wordpress and Kadence's single post layout block ,"All low-code enviroments hosted through WordPress and Kadence, our custom theme",N/A,BP-003,09/17/2025,9/20/2025,We verified this functionality by clicking the Facebook button and ensuring that sharing would work,"	This will be our final feat of the website and will be completed prior to demo #3."
010,High,"The blogpost function will allow the administrators to update blogposts and add to it as time goes on, while automating the process of adding it to the website. ",The ability to edit and add posts to the WordPress posts section must be up in running along with ,Completed,The blogpost pages are hosted directly through WordPress's blog page and their posts section under pages. This will be required to be able to access the blog posts,The blogpost page will be hosted through the WordPress business account and will be using Kadence blocks for its theme. ,WordPress and Kadence's single post layout block ,"All low-code environments hosted through WordPress and Kadence, our custom theme",N/A,BP-004,09/17/2025,9/21/2025,We verified this function by adding blogposts to the page and ensuring there were automated to automatically be added to the page. ,"	This will be our final feat of the website and will be completed prior to demo #3."
011,Low,The Donations page will include a Testimonials section that displays pre-approved community testimonials.,"The Donations page must load correctly, testimonials section must integrate with existing Kadence page layout.",Completed,"The testimonials section at the bottom of the donation page will be managed through our CMS, WordPress, for easy access to both the users and administrators. This section is built using Kadence blocks to maintain consistent design with the rest of the site.","Section created in WordPress using Kadence blocks, manually added by administrators based on approved WPForms submissions",WordPress and Kadence’s page layout blocks,"All low-code environments managed through WordPress, Kadence, and WPForms.",N/A,TM-001,10/29/2025,10/25/2025,We verified this section by confirming that sample testimonials displayed correctly on the Donations page and that layout formatting appeared as designed.,"	This will be our final feat of the website and will be completed prior to demo #3."
012,Low,A “Share Now” button will allow users to open a testimonial submission form.,WPForms plugin must be active and configured for testimonial submission.,Completed,"The “Share Now” button within the Testimonials section will be managed through our CMS, WordPress, to allow easy navigation for users. The button will link to a WPForms testimonial form, providing a simple and direct user experience without leaving the site’s domain.","The Testimonials section and form are managed through WordPress using Kadence and WPForms. The “Share Now” button links to a WPForms testimonial form, and approved submissions are manually added by admins to ensure content accuracy.","WordPress, Kadence, and WPForms integration","All low-code environments managed through WordPress, Kadence, and WPForms.",N/A,TM-002,10/29/2025,10/25/2025,We verified this functionality by clicking the “Share Now” button to ensure it correctly opened the testimonial submission form.,"	This will be our final feat of the website and will be completed prior to demo #3."
013,Low,"The WPForms Testimonial Form will allow users to submit name, email, and Testimonial Description , which will be reviewed before publishing.",WPForms form fields and submission notifications configured correctly.,Completed,"The testimonial submission form will be managed through our CMS, WordPress, for administrative access. The form will be created using the WPForms plugin, allowing the admin to view, approve, and manage submissions through the WordPress dashboard.","The Testimonials section and form are managed through WordPress using Kadence and WPForms. The “Share Now” button links to a WPForms testimonial form, and approved submissions are manually added by admins to ensure content accuracy.","WordPress, Kadence, and WPForms integration","All low-code environments managed through WordPress, Kadence, and WPForms.",N/A,TM-003,10/29/2025,10/25/2025,"We verified the form submission through a user test, submitting testimonial form to make sure it is working.","	This will be our final feat of the website and will be completed prior to demo #3."
014,Low,Administrators will be able to approve or delete testimonial submissions directly from the WPForms dashboard.,Admin must have edit access to WPForms entries.,Completed,"The testimonial moderation process will be managed through our CMS, WordPress, for easy access to the WPForms dashboard. Administrators will be able to approve or delete user testimonials before publishing them live on the Donations page.","The Testimonials section and form are managed through WordPress using Kadence and WPForms. The “Share Now” button links to a WPForms testimonial form, and approved submissions are manually added by admins to ensure content accuracy.","WordPress, Kadence, and WPForms integration","All low-code environments managed through WordPress, Kadence, and WPForms.",N/A,TM-004,10/29/2025,10/25/2025,We verified this process by ensuring admins could view submitted testimonials in WPForms and manually add them to the site after review.,"	This will be our final feat of the website and will be completed prior to demo #3."
015,High,The “Other Ways to Give” page will provide alternative donation options including Wishlist and Kroger Community Rewards links.,The page must load correctly under the Donations navigation hierarchy and integrate with the site’s Kadence theme.,Completed,"The “Other Ways to Give” page will be managed through our CMS, WordPress, for easy access to administrators. This subpage will use Kadence layout blocks to maintain visual consistency with the Donations page while featuring additional donation methods.","The “Other Ways to Give” page will be created in WordPress using Kadence layout blocks, featuring both Wishlist and Kroger Rewards sections with external links.",WordPress and Kadence’s page layout blocks,"All low-code environments hosted through WordPress and Kadence, our custom theme.",N/A,OWG-001,10/29/2025,10/22/2025,We verified this page by ensuring the Wishlist and Kroger Rewards sections displayed correctly and that both links were functional.,"	This will be our final feat of the website and will be completed prior to demo #3."
016,High,The Wishlist section will contain a button linking users directly to Pets4Life’s official Amazon Wishlist for item donations.,The external Amazon Wishlist URL must remain active and accurate; WordPress must support external linking.,Completed,"The Wishlist section will be managed through our CMS, WordPress, for easy access to users. This section will contain a button block linking directly to the Pets4Life Amazon Wishlist, integrated within the Kadence block system for uniform styling.","The Wishlist section will use a Kadence button block linking to the Amazon Wishlist, configured to open in a new tab.",WordPress and Kadence’s page layout blocks,"All low-code environments hosted through WordPress and Kadence, our custom theme.",N/A,WL-001,10/29/2025,10/22/2025,We verified this functionality by clicking the Wishlist button and confirming it directed to the official Amazon Wishlist in a new tab.,"	This will be our final feat of the website and will be completed prior to demo #3."
017,Low,Administrators will be able to update or replace the Amazon Wishlist URL without developer assistance.,Admin must have edit access to the “Other Ways to Give” page.,Completed,"The Wishlist link section will be managed through our CMS, WordPress, for easy administrative access. Administrators can update the Amazon Wishlist URL directly within the page editor without requiring developer support.",The Wishlist link will be editable directly in the WordPress page editor using Kadence block settings.,WordPress and Kadence’s page layout blocks,"All low-code environments hosted through WordPress and Kadence, our custom theme.",N/A,WL-002,10/29/2025,10/22/2025,We verified this functionality by editing the Wishlist link in WordPress and confirming the updated link appeared correctly on the live page.,"	This will be our final feat of the website and will be completed prior to demo #3."
018,High,The Kroger Community Rewards section will include text explaining the program and how it benefits Pets4Life.,The client must provide accurate organization ID or registration details for Kroger,Completed,"The Kroger Community Rewards section will be managed through our CMS, WordPress, for easy access to users. The information about registering a Kroger card and Pets4Life’s organization ID will be displayed within Kadence content blocks on the “Other Ways to Give” page.","The Kroger Rewards section will use Kadence content and button blocks in WordPress, displaying instructions and linking to the Kroger Rewards registration page.",WordPress and Kadence’s page layout blocks,"All low-code environments hosted through WordPress and Kadence, our custom theme.",N/A,KR-001,10/29/2025,10/22/2025,We verified this section by confirming the Kroger Community Rewards information appeared correctly and took the website user to the correct page,"	This will be our final feat of the website and will be completed prior to demo #3."
019,High,The Kroger Community Rewards button will link directly to Kroger’s registration portal for users to enroll their shopper’s card.,The external Kroger URL must be valid and functional.,Completed,"The Kroger Rewards registration button will be managed through our CMS, WordPress, for easy user navigation. The button will direct visitors to the official Kroger Community Rewards page, opening in a new browser tab for convenience.","A Kadence button block will link to the official Kroger Rewards page, opening in a new tab for convenience.",WordPress and Kadence’s page layout blocks,"All low-code environments hosted through WordPress and Kadence, our custom theme.",N/A,KR-002,10/29/2025,10/22/2025,We verified this functionality by clicking the Kroger Rewards button and confirming it redirected to the official Kroger registration page in a new tab.,"	This will be our final feat of the website and will be completed prior to demo #3."
020,Low,Administrators will be able to update the Kroger Rewards link or organization details if Kroger changes its setup process.,Admins must have access to page content and receive updated information from the sponsor.,Completed,"The Kroger Rewards section will be managed through our CMS, WordPress, for easy administrative updates. The client can modify the link or text instructions within the WordPress editor to reflect any changes in Kroger’s registration process.",The Kroger Rewards information and link will be editable in the WordPress page editor through Kadence block settings.,WordPress and Kadence’s page layout blocks,"All low-code environments hosted through WordPress and Kadence, our custom theme.",N/A,KR-003,10/29/2025,10/22/2025,We verified this functionality by updating the Kroger Rewards link in WordPress to ensure the new URL saved and displayed correctly.,"	This will be our final feat of the website and will be completed prior to demo #3."
021,Low,Potential volunteer candidates click to fill out a volunteer interest form,Organization can vet volunteers for their skills and interest that could prove useful for the organization.,Completed,Form will be managed through WPForms plugin on the WordPress CMS.,This form is realized by the WPForms plugin on the WordPress CMS. Plugin allows the creation and editing of forms within the website.,"WPForms, WordPress",No-code plugin hosted through WordPress,N/A,WP-001,10/5/2025,10/7/2025,This function was verified by filling out the form on the live website and the filled out form will appear on the entries tab in the WPForms dashboard on WordPress.,N/A
022,High,the volunteer management (V.M) system will allow users to sign up for volunteering opportunities directly through Planhero,P4L organization can receive volunteer help to facilitate business processes. ,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a separate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-001,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
023,High,the V.M system will allow users to update their availability if changes arise,Volunteers need to update their availability,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a separate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-002,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
024,High,the V.M system will allow volunteers to have the option for one-time or flexible volunteering options,Volunteers choose how flexible they can be with volunteer work,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a separate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-003,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
025,High,the V.M system will allow admin to send reminders and notifications for upcoming events to volunteers. ,People who signed up for events need to be reminded and notified of upcoming events,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a seperate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-004,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
026,High,the V.M system will require creation of profile along with personal information,Volunteers keep their information logged in an account on Plan Hero,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a separate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-005,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
027,High,"The V.M system will allow the event coordinator to schedule a new event by inputting relevant details, such as date, time, location, and description. ",Event coordinator will need to input important details in the event description,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a separate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-006,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
028,High,The V.M system will allow the event coordinator to modify existing event details as needed. ,Event coordinator will need to update existing details in event description for the occurrence of changes,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a separate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-007,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
029,High,"The V.M system will allow users access to a list of scheduled events and their relevant details, such as date, time, location, and description. ",Clients need to see the relevant details of events for scheduling.,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a separate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-008,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
030,High,The V.M system will allow volunteers to register for events.,Users need to register for an event if they intend to volunteer for the event.,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a separate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-009,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
031,High,Users will fillout a form for a mailing list to get regular updates and announcements for events.,Users need distributed updates and announcements of upcoming events of interest.,Completed,Registry will be processed by a form hosted by WPForms which will then register the user to recieve updates via MailChimp,WPForms is a plugin hosted on the WordPress CMS and MailChimp is another service that is integratable with the website.,"WordPress, WPForms, MailChimp",No-code plugins and services that are hosted or managed within the WordPress CMS,N/A,MC-001,11/20/2025,11/21/2025,We tested this by going through and filling out the mailing list form and seeing if it updated the MailChimp Pets4Life list. This was done initially on the website and then checked on our backend. ,N/A
032,High,"The system will allow users to view a list of upcoming community events, including the event title, date, time, and location.",Users need visibility into upcoming events in order to plan attendance. The events must display accurately on the website.,Completed,"The Events & Scheduling page is designed and managed through WordPress CMS. Amelia Lite plugin is embedded into the page using a short code, pulling event data dynamically for easy updates by administrators.",Amelia Lite plugin is embedded on the Events page to list available events dynamically.,"WordPress, Amelia Lite",Amelia Lite Booking Confirmation,N/A,TC-EV01,10/29/2025,10/30/2025,Verified by group testing: events appear with accurate information and clickable sign-up button.,Tested in demo #2 test was success.
033,High,The system will allow users to register for an event directly through the Amelia Lite booking form.,Users need an easy and accessible online method to sign up for events without staff involvement.,Completed,"The Events & Scheduling page is designed and managed through WordPress CMS. Amelia Lite plugin is embedded into the page using a short code, pulling event data dynamically for easy updates by administrators.",Amelia Lite plugin manages booking form submission and displays confirmation on the same page after submission.,"WordPress, Amelia Lite",Amelia Lite Booking Confirmation,N/A,TC-EV02,10/29/2025,10/30/2025,Verified by group testing: events appear with accurate information and clickable sign-up button.,Tested in demo #2 test was success.
034,High,The system will provide users with an on-screen confirmation message once an event registration is submitted.,Users expect to know their registration was successful immediately after submission.,Completed,"The Events & Scheduling page is designed and managed through WordPress CMS. Amelia Lite plugin is embedded into the page using a short code, pulling event data dynamically for easy updates by administrators.",Amelia Lite displays “Thank You” confirmation message after booking; no automated email notifications in Lite version.,"WordPress, Amelia Lite",Amelia Lite Booking Confirmation,Future enhancement: enable email or SMS confirmations if Pro version is adopted.,TC-EV03,10/29/2025,10/30/2025,Verified on-screen confirmation message; pending user verification for automated notifications.,Tested in demo #2 test was success.
039,High,"The system will display a contact form that allows users to input their name, email, subject, and message.",Visitors need an easy way to reach out to Pets4Life for support or questions.,Completed,The “Contact Us” page is built within WordPress using the WPForms plugin. The form layout includes labeled fields styled for accessibility and mobile responsiveness.,WPForms Lite plugin embedded via short code and routed through WordPress,WordPress Contact Page.,WPForms Lite.,N/A,TC-CU01,Not yet tested,10/6/2025,Verified form loads correctly and accepts entries.,Simple and user-friendly; integrates seamlessly with chatbot.
040,High,The system will display a confirmation message after the user submits a contact form.,Users expect visual confirmation after submitting their inquiry.,Completed,Confirmation message configured within WPForms settings to appear inline after submission.,WPForms Lite uses AJAX submission to display “Thank You” text without refreshing the page.,WordPress Contact Page.,WPForms Lite Confirmation Module.,Will assess clarity of confirmation message before Demo 3.,TC-CU02,11/19,11/20,"We verified this form by submitting a test form and seeing what it would provide to us. It went through correctly, and we were able to see the submission confirmation on the front end to connect to what we saw in the backend. ",Future enhancement may include automatic email copy sent to user.
041,High,A “Mission Partner Form” button will allow users to open a mission partner submission form.,WPForms plugin has to be active and configured for mission partner form submission.,Completed,"The “Mission Partner Form” button on the Mission Partners page will be managed through our CMS, WordPress, to provide easy navigation for users. The button will link to a WPForms mission partners form, providing a clear and simple user experience without having to leave the site’s domain.",The Mission Partners page and form are managed through WordPress using Kadence and WPForms. The “mission partner form” button links to a WPForms mission partner form. Once submitted admins will have full access to view and manage submissions.,"WordPress, Kadence, and WPForms integration","All low-code environments managed through WordPress, Kadence, and WPForms.",N/A,MP-001,10/29/2025,10/25/2025,We verified this functionality by clicking the “Mission Partner Form” button to ensure it correctly opened the mission partner form.,This will be our final feat of the website and will be completed prior to demo #3.
042,High,"The WPForms Mission Partner Form will allow users to submit name, email, phone number and organization name.",WPForms form fields and submission notifications configured correctly.,Completed,"The mission partner form will be managed through our CMS, WordPress, for administrative access. The form will be created using the WPForms plugin, allowing the admin to view and manage submissions through the WordPress dashboard.",The Mission Partners page and form are managed through WordPress using Kadence and WPForms. The “mission partner form” button links to a WPForms mission partner form. Once submitted admins will have full access to view and manage submissions.,"WordPress, Kadence, and WPForms integration","All low-code environments managed through WordPress, Kadence, and WPForms.",N/A,MP-002,10/29/2025,10/25/2025,"We verified the form submission through a user test, submitting a mission partner form to make sure it is working.",This will be our final feat of the website and will be completed prior to demo #3.
043,High,A “Donate” button will allow users to open a general donation form.,WPForms plugin has to be active and configured for general donation form submission.,Completed,"The “Donate” button on the Donate page will be managed through our CMS, WordPress, to provide easy navigation for users. The button will link to a WPForms general donation form, providing a clear and simple user experience without having to leave the site’s domain.","The Donate section and form are managed through WordPress using Kadence, Stripe and WPForms. The “Donate” button links to a WPForms general donation form. Once submitted admins will have full access to view and manage submissions.","WordPress, Kadence, Stripe, and WPForms integration","All low-code environments managed through WordPress, Kadence, Stripe, and WPForms.",N/A,DP-001,10/29/2025,10/25/2025,We verified this functionality by clicking the “Donate” button to ensure it correctly opened the general donation form.,"        This will be our final feat of the website and will be completed prior to demo #3. Additionally the donation feature will not fully be incorporated for demo #3 because of our team not being comfortable damaging our tax returns by creating a fully functioning donation page. This is because to do so, Stripe needs your tax information, which would alter our tax returns. If we are selected by the client to create the final website, we will work on them to connect Stripe so that the donation page is fully operational. "
044,High,"The WPForms General Donation Form will allow users to submit name, comment or message, and donation amount.",WPForms form fields and submission notifications configured correctly.,Completed,"The general donation form will be managed through our CMS, Stripe, WordPress, for administrative access. The form will be created using the WPForms plugin, allowing the admin to view and manage submissions through the WordPress dashboard.","The Donate section and form are managed through WordPress using Kadence, Stripe and WPForms. The “Donate” and ""Sponsor"" button links to a WPForms general donation form. Once submitted admins will have full access to view and manage submissions.","WordPress, Kadence, Stripe, and WPForms integration","All low-code environments managed through WordPress, Kadence, Stripe, and WPForms.",N/A,DP-002,10/29/2025,10/25/2025,"We verified the form submission through a user test, submitting a general donation form to make sure it is working.","        This will be our final feat of the website and will be completed prior to demo #3. Additionally the donation feature will not fully be incorporated for demo #3 because of our team not being comfortable damaging our tax returns by creating a fully functioning donation page. This is because to do so, Stripe needs your tax information, which would alter our tax returns. If we are selected by the client to create the final website, we will work on them to connect Stripe so that the donation page is fully operational. "
045,High,A “Sponsor” button will allow users to open a general donation form.,WPForms plugin has to be active and configured for general donation form submission.,Completed,"The “Sponsor” button on the Donate page will be managed through our CMS, WordPress, to provide easy navigation for users. The button will link to a WPForms general donation form, providing a clear and simple user experience without having to leave the site’s domain.","The Sponsor section and form are managed through WordPress using Kadence, Stripe and WPForms. The “Sponsor” button links to a WPForms general donation form. Once submitted admins will have full access to view and manage submissions.","WordPress, Kadence, Stripe, and WPForms integration","All low-code environments managed through WordPress, Kadence, Stripe, and WPForms.",N/A,DP-003,10/29/2025,10/25/2025,We verified this functionality by clicking the “Sponsor” button to ensure it correctly opened the general donation form.,"        This will be our final feat of the website and will be completed prior to demo #3. Additionally the donation feature will not fully be incorporated for demo #3 because of our team not being comfortable damaging our tax returns by creating a fully functioning donation page. This is because to do so, Stripe needs your tax information, which would alter our tax returns. If we are selected by the client to create the final website, we will work on them to connect Stripe so that the donation page is fully operational. "
